actionid,actiongroup,actionsubid,actiontitle,actiondesc,actionsubsubid
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Restrict reasons for being able to leave the house, e.g. shopping for essentials, exercise, medical needs or essential work in the UK.",21
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Allow demographic groups to leave house on specified days or at specified times, e.g. men and women on alternate days in Peru and Panama.",22
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Use talking drones to encourage people to return home, e.g. in Spain.",23
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,Offer raffles or competitions (e.g. on television or radio) with participation only possible when people are most likely to leave home.,24
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Reward people who respect home confinement instructions, e.g. financially or with medals.",25
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,Encourage or require working from home for all jobs where possible.,26
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Encourage or require people in non-essential jobs to stop working, if home working is not possible. ",27
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,Fine companies for encouraging or forcing people in non-essential jobs to go into work. ,28
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,Pay staff to stay at home even when showing no signs of infection.,29
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Support development of home-based enterprises by providing training, seed capital or loans, e.g. in Santa Ana, California, USA.",30
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Increase the amount of calls, texts or data included in domestic telecommunications packages, to encourage people to work or study from home. Implemented by OGERO Telecom, Lebanon.",31
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,Subsidize telecommunications packages (e.g. internet access) to encourage people to work or study from home.,32
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Increase internet bandwidth or connection speed, to encourage people to work or study from home. Considering offering this free of charge, e.g. OGERO Telecom, Lebanon.",33
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Encourage people to exercise restraint when using domestic internet connections (e.g. reducing quality of streamed videos), to maintain bandwidth for people who need to work and study at home. Implemented by OGERO Telecom, Lebanon.",34
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Move lectures and teaching to a home-based setting, for instance through greater use of distance and online learning (“virtual schools”) and self-study.",35
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Provide lessons in various formats to facilitate home study for all students, e.g. on TV and radio (not just online) in Japan, Ghana, Madagascar and Côte d’Ivoire.",36
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,Develop remote-desktop technology to allow workers and students to connect to work/school computers from home.,37
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,Provide employees and students with adequate hardware and software for remote working.,38
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,Ensure adequate IT and other technical support to enable remote working or studying.,39
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,Encourage use of online systems as much as possible e.g. for personal banking.,40
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Provide virtual reality alternatives to visits outside the home, e.g. virtual museums.",41
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,Provide accommodation and support for rough sleepers and those without permanent accommodation.,42
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Provide home-testing kits, self-testing equipment, self-injecting medicines and other home-based medical services to reduce need to visit medical facilities. ",43
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Encourage volunteer community groups to “adopt” healthcare workers, or anyone else whose work requires them to leave home, to assist with groceries, laundry and other essential tasks.",44
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Develop or modify technology platforms to be more accessible and intuitive, to help people who are less comfortable with technology adjust to its increased use during confinement.",45
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Provide additional remote support for people who are less comfortable with technology, e.g. Cibervoluntarios Responde (Cybervolunteers Respond), Spain.",46
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Ensure information is available remotely to isolated groups, e.g. those without internet at home who would normally use library services, or those who don’t speak the official language. ",47
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,Provide mental health support for people facing extended periods of confinement. Could help to maximize compliance (alongside health and social benefits).,48
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Encourage people to maintain routines (e.g. keeping alarms set to normal times, maintaining set working hours) during extended periods of confinement, to help maximize compliance.",49
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,Clearly explain the consequences of not respecting confinement for self and others.,50
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Advise medically vulnerable individuals, such as the elderly and those with existing medical conditions, to stay at home unless for essential reasons (“shielding”).",51
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,Advise people who live with medically vulnerable individuals to reduce their own movement outside of their house.,52
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Create lists of people who are medically or socially vulnerable (including disabled people, key workers and those with caring responsibilities) to facilitate them in receiving deliveries (food or medicine) without leaving the house.",53
1,1. PHYSICAL DISTANCING,1_3,1.3 Reduce local movement,Encourage minimal movement in communities.,54
1,1. PHYSICAL DISTANCING,1_3,1.3 Reduce local movement,Advise and support all workers who are unable to work from home in minimizing movement and interactions outside of house and work.,55
1,1. PHYSICAL DISTANCING,1_3,1.3 Reduce local movement,Advise people living with workers who are unable to work from home to minimize movement outside of their home.,56
1,1. PHYSICAL DISTANCING,1_3,1.3 Reduce local movement,"Limit distance people can move from their home, e.g. 200 m in parts of Italy, 1 km in France in 2020 and 10 km in France in 2021.",57
1,1. PHYSICAL DISTANCING,1_3,1.3 Reduce local movement,"Add prescriptions on outdoor activity to aid policing, e.g. requirement to keep moving when out for exercise in Belgium.",58
1,1. PHYSICAL DISTANCING,1_3,1.3 Reduce local movement,"Limit frequency and duration of excursions from house, e.g. for 1 hour, once per day in France.",59
1,1. PHYSICAL DISTANCING,1_3,1.3 Reduce local movement,"Impose an evening curfew, e.g. in Peru and South Africa.",60
1,1. PHYSICAL DISTANCING,1_3,1.3 Reduce local movement,"Impose a daily curfew, for example on weekends or specific days when people gather.",61
1,1. PHYSICAL DISTANCING,1_3,1.3 Reduce local movement,"Discourage or prohibit individuals (e.g. staff, students) from going out to buy lunch.",62
1,1. PHYSICAL DISTANCING,1_3,1.3 Reduce local movement,"Provide longer prescriptions for people on repeat prescriptions to limit number of trips to pharmacies and hospitals, e.g. extended from 1 month to 3 months in China.",63
1,1. PHYSICAL DISTANCING,1_3,1.3 Reduce local movement,Prohibit travel to areas where physical distancing is likely to be difficult to maintain.,64
1,1. PHYSICAL DISTANCING,1_3,1.3 Reduce local movement,"Suspend or reduce public transport services when not needed for essential travel, e.g. during Eid al-Fitr holiday in Egypt.",65
1,1. PHYSICAL DISTANCING,1_3,1.3 Reduce local movement,Use mobile phone tracking to check if restrictions are being followed.,66
1,1. PHYSICAL DISTANCING,1_4,1.4 Reduce number and duration of shopping visits,Create ways for people to share shopping trips so fewer trips need to be made (e.g. through community groups or one shopper per community).,67
1,1. PHYSICAL DISTANCING,1_4,1.4 Reduce number and duration of shopping visits,Encourage or allow only one person per household out to shop.,68
1,1. PHYSICAL DISTANCING,1_4,1.4 Reduce number and duration of shopping visits,"Increase delivery service from shops, food banks and other providers, e.g. veg box schemes.",69
1,1. PHYSICAL DISTANCING,1_4,1.4 Reduce number and duration of shopping visits,"Improve infrastructure to enable people to obtain groceries, medicines, and other essential goods by delivery, e.g. by recruiting more delivery agents.",70
1,1. PHYSICAL DISTANCING,1_4,1.4 Reduce number and duration of shopping visits,"Where the capacity is available, make home delivery more attractive, e.g. by waiving delivery fee or offering discounts (perhaps just on first order by a customer each week or month).",71
1,1. PHYSICAL DISTANCING,1_4,1.4 Reduce number and duration of shopping visits,Companies who deliver to the hospitality trade convert or expand to home deliveries.,72
1,1. PHYSICAL DISTANCING,1_4,1.4 Reduce number and duration of shopping visits,Encourage or enforce ‘minimum spend’ or ‘minimum number of items’ to encourage people to combine trips to obtain goods.,73
1,1. PHYSICAL DISTANCING,1_4,1.4 Reduce number and duration of shopping visits,"Share surveillance among shops, including CCTV and monitoring for people making excessive visits. ",74
1,1. PHYSICAL DISTANCING,1_4,1.4 Reduce number and duration of shopping visits,"Discourage or restrict people from buying ‘non-essential’ or luxury items, including removing them from stock, limiting their availability or preventing people from only buying them. The definition of ‘non-essential’ may vary over time and space.",75
1,1. PHYSICAL DISTANCING,1_4,1.4 Reduce number and duration of shopping visits,"Create pre-assembled baskets of goods for customers to collect, reducing need to move around shop/marketplace.",76
1,1. PHYSICAL DISTANCING,1_4,1.4 Reduce number and duration of shopping visits,"Improve ease of finding goods in shops, e.g. with maps, beacons or apps.",77
1,1. PHYSICAL DISTANCING,1_4,1.4 Reduce number and duration of shopping visits,"Avoid rearranging products in shops, especially large-scale movements between aisles or floors.",78
1,1. PHYSICAL DISTANCING,1_5,1.5 Reduce physical contact,"Avoid physical contact, such as shaking hands, kissing or hugging, outside household members or social bubble.",79
1,1. PHYSICAL DISTANCING,1_5,1.5 Reduce physical contact,Identify and encourage alternative methods for greeting people that reduce the risk of virus transmission such as ‘elbow bumping’ rather than shaking hands.,80
1,1. PHYSICAL DISTANCING,1_5,1.5 Reduce physical contact,"Encourage household members to carry out activities involving close contact, such as hairdressing, with guidance provided by a professional via video link.",81
1,1. PHYSICAL DISTANCING,1_5,1.5 Reduce physical contact,"Create meeting rooms with airtight partitions, e.g. modified containers placed in the courtyards of Dutch care homes to allow safe meetings between residents and family.",82
1,1. PHYSICAL DISTANCING,1_5,1.5 Reduce physical contact,"Wear disposable gloves if physical contact must be made, to avoid skin-to-skin contact.",83
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Close places of public gathering (e.g. restaurants, shops, parks, workplaces, schools, places of worship), depending upon their importance to society and degree of likely close physical spacing.",84
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Remove, block off or close facilities that encourage groups to form, such as park benches or play equipment.",85
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,Close facilities that do not have and use a biosecurity plan.,86
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"If workplaces are still open, close canteens and other non-essential common spaces.",87
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Encourage employees to eat at their own desk, rather than in communal spaces.",88
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"If schools are still open, reduce inter-class and after-school activities, as in Singapore.",89
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Deter mixing at start or end of day, e.g. by staggering hours or discouraging non-essential contact.",90
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,Advise people to avoid crowds.,91
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Discourage or ban events where many people gather, e.g. concerts, sports events, markets, conferences and religious ceremonies.",92
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Offer online alternatives to public events, e.g. #PhilharmonicAtHome concerts and online religious lectures in Indonesia.",93
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Offer drive-in alternatives to public events, e.g. concerts, music festivals, film screenings.",94
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Provide and encourage alternatives to voting in person, e.g. postal voting.",95
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Discourage or ban actions that may cause crowds to form, e.g. playing amplified music in public in Bouches-du-Rhône, France.",96
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Use stewards or ushers to prevent crowds from forming, or dissipate them if they do form.",97
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Send public service agents door-to-door, rather than encouraging people to come to a crowded central facility.",98
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Provide information remotely rather than face-to-face, e.g. using notice boards, e-mail, telephone calls or leaflets. ",99
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Minimize face-to-face interactions at work, e.g. meetings, co-working, on the job training and direct supervision.",100
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,Use video-calling or voice-calling technology instead of in-person meetings.,101
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Provide virtual reality alternatives to in-person interactions, e.g. robot shop workers in Japan.",102
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Provide automated alternatives to in-person interactions, e.g. bank cashiers replaced by ATMs in Rio Grande do Norte, Brazil.",103
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Ban or discourage cosmetic treatments, e.g. facial beauty treatments, tattoos, piercings.",104
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,Offer takeaway options to discourage people from visiting restaurants.,105
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,Offer table service only in restaurants.,106
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Require that food is consumed along with alcoholic drinks in bars/restaurants, to avoid alcohol-related breakdown of physical distancing.",107
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Ban consumption of alcohol or other intoxicating substances in public, e.g. at football games in Germany, to avoid breakdown of physical distancing.",108
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Close pubs and bars early each day (e.g. 10 p.m. in UK) to reduce alcohol-related breakdown of physical distancing. Consider that this may encourage unsupervised drinking in the streets or at home, and create close interactions as all customers leave at one time.",109
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,Require that drivers wait in car when dropping off or picking up objects or people.,110
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Place items on an isolated table/counter for customers to pick up, rather than delivering directly to customers.",111
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Use robots, drones or driverless vehicles to deliver items, e.g. food within restaurants or from supermarkets, consumer goods, sports trophies during presentations.",112
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Drop-off of groceries outside property, to be brought in by customer later (rather than carrying goods indoors).",113
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,Avoid restocking shops when customers are inside the building if it causes congestion.,114
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,Avoid picking items for delivery or collection orders during peak times in supermarkets.,115
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,Encourage or require use of stairs rather than lifts for those able to do so.,116
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,Only allow disabled/elderly people to use lifts.,117
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,Discourage or ban walking on escalators.,118
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Encourage use of personal transport (walking, bicycles, scooters, cars) rather than public transport.",119
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,Provide extra parking for additional cars and bicycles.,120
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Offer free bicycles to reduce the use of public transport, e.g. in London, UK.",121
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Widen/install new bike lanes to make cycling a more attractive transport options (and expand space available), e.g. Berlin, Germany and Paris, France.",122
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,Lower speed limits to encourage walking/cycling rather than use of public transport (pedestrians/cyclists feel safer).,123
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Prohibit motorcycles or similar small vehicles from carrying passengers, e.g. in Rwanda.",124
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Limit or prohibit standing on public transport, e.g. in Malta.",125
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,Avoid sharing bedrooms (except for individuals from same household).,126
1,1. PHYSICAL DISTANCING,1_6,1.6 Avoid situations that involve close interactions,"Phase in spacing methods, e.g. by initially only opening public spaces at less popular times and with stringent conditions.",127
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Encourage people to observe physical distancing, with effective messaging.",128
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Use clear, colourful markings on the ground to space people out (e.g. grid to show where to eat lunch or spaces in queues). Tactile markings would include people with limited vision.",129
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Mow grass in a checkerboard of short and long patches, e.g. garden in Elblag, Poland. People occupy short patches and leave long patches empty.",130
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,Employ dedicated staff to help people observe physical distancing in queues and enforce norms where necessary.,131
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Use apps or other devices to detect when individuals break physical distancing guidelines and emit a warning signal, e.g. Bluetooth®-based 1point5 app https://onepointfive.app/ and echolocation-based Sunu Band https://www.sunu.com.",132
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,Fine people who do not maintain physical distancing.,133
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,Send off sports players who do not maintain physical distancing.,134
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Reward people who maintain physical distancing, e.g. financially or with medals.",135
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Maintain gaps between workspaces, e.g. only opening every second checkout, increasing space between desks in open plan offices.",136
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,Move tables (e.g. in restaurants) further apart.,137
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Provide “bumper tables”, where user stands in centre of table on wheels.",138
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,Provide wearable items that mark out safe distances between individuals e.g. pool-noodle hats or personal laser projectors.,139
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Deliver items on long wooden planks, e.g. within restaurants in the Netherlands.",140
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Increase spacing on escalators, e.g. paint out alternate steps with steps shared only by people from the same household. ",141
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,Increase the number and/or size of access points to reduce congestion.,142
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Separate walkers, runners and cyclists.",143
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,Remove standing options at public events; audience/spectators must be seated.,144
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Block out alternate seats or alternate rows of seats, e.g. with signs, tape, mannequins or stuffed toys.",145
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Restrict groups of seats (e.g. around a table on trains or coaches, or in bars), to social groups (e.g. households or bubbles).",146
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,Alternate seats on each side of narrow tables (i.e. avoid seats directly opposite each other).,147
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Encourage people to leave spaces between themselves, e.g. on public transport.",148
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,Block out seats close to driver (e.g. front few rows) of public transport.,149
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"If seats are pre-booked (e.g. on planes or in theatres), distribute individuals and groups to optimize spacing.",150
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Fill space using a system that minimizes close interactions, e.g. fill window seats before aisle seats, or fill planes from back to front rather than by zones or by passenger status.",151
1,1. PHYSICAL DISTANCING,1_7,1.7 Maintain or increase physical spacing,"Alternate distancing when purchasing items, e.g. customer approaches counter with items while assistant distant, then customer backs off while items are scanned, then assistant backs off while customer pays and takes items.",152
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,"Set upper limit for number of people allowed in premises, e.g. no more than 50 people at a time in restaurants, churches and cinemas in South Africa.",153
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,Set upper limit for number of people using a lift at one time e.g. one person or household or one person in each corner if large lift.,154
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,Reduce class sizes in schools.,155
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,"Prohibit parents from entering schools, e.g. in Denmark.",156
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,"Reduce prison population by managing new entries and/or releases. For example, in the Netherlands, people convicted of minor offences were not brought to court and low-risk prisoners were allowed to stay at home under electronic monitoring.",157
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,"Reduce number of players on sports teams, e.g. 7-vs-7 rather than 11-vs-11 football in Vermont, USA.",158
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,"Restrict capacity on public transport, e.g. limiting flights to/from China to 75% capacity.",159
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,"Limit number or type of people at essential events such as weddings or funerals. In Australia, 5 people for a wedding, 10 for a funeral. In Kenya, 15 close family members at a funeral. Encourage people to send wishes and condolences via social media instead.",160
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,Limit group sizes for people not from the same household or social bubble in public.,161
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,"Only allow single individuals at one time to use public spaces (such as a shop), except where assistance is needed.",162
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,"Limit the number of accompanying persons, e.g. when shopping or attending a doctor’s appointment.",163
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,Set security access pass system or QR codes to limit numbers.,164
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,"Use security personnel, or designated staff members, to monitor numbers inside a space, and limit access when necessary.",165
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,Use an entry and exit ticket system with barriers similar to those operated in car parks.,166
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,"Use an entry and exit system where people must swipe in and out, e.g. with ID cards or tokens.",167
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,"Design system so doors automatically shut once numbers exceed a given threshold, e.g. detected by phone signals.",168
1,1. PHYSICAL DISTANCING,1_8,1.8 Limit number of people in a location,"Restrict activities that can be carried out in public places to reduce the number of people there, e.g. beaches in Rio de Janeiro, Brazil, can only be used for sport/exercise and not for sunbathing.",169
1,1. PHYSICAL DISTANCING,1_9,1.9 Spread out use of shared space,"Extend opening hours, e.g. of supermarkets.",170
1,1. PHYSICAL DISTANCING,1_9,1.9 Spread out use of shared space,"Run activity for longer, e.g. increase canteen hours, allow early voting.",171
1,1. PHYSICAL DISTANCING,1_9,1.9 Spread out use of shared space,"Repeat events, e.g. church services, seminars, film screenings.",172
1,1. PHYSICAL DISTANCING,1_9,1.9 Spread out use of shared space,"Require pre-booking of time slots to use or enter facilities, e.g. supermarkets, golf courses, parks, museums, tourist attractions, football stadiums.",173
1,1. PHYSICAL DISTANCING,1_9,1.9 Spread out use of shared space,"Require appointments for use of services, e.g. doctors or hairdressers, to avoid crowds forming at peak times.",174
1,1. PHYSICAL DISTANCING,1_9,1.9 Spread out use of shared space,"Stagger start and finish times of users, staff or students, so they are not all using entrances or exits at the same time.",175
1,1. PHYSICAL DISTANCING,1_9,1.9 Spread out use of shared space,Stagger activities such as lunch breaks.,176
